RestaurantId,Cuisine,Rating,NumberOfReviews
ykXZyQBXxoOMoZfaZMnHmg,american,4.0,296
uaFHoq-a5XqxF-bsOK9_Qg,chinese,3.5,762
IhSVn0TaX8xXb3wcQ-fgcA,chinese,4.0,2226
je92kXXWjANmiN-dfwNapg,japanese,4.0,347
aSprnLY-6GkMk1cuv0TMeA,italian,4.0,785
AFidVhcRHCmlk6YxgRlO2Q,chinese,3.5,87
x9wa2M7gvf32swUSBP3uXA,indian,3.5,686
jYia13i0CBwNXadzAAxLJg,japanese,3.5,266
42qsGN56bAsPhv5mhRZmGw,american,4.0,109
kbUZnWtro1h8BuPcSOd74g,korean,3.5,85
cJfbydHniqWsGL2VHVDHEg,indian,4.0,196
0hoKHSlhmqr0_5a1KD67AQ,american,3.5,159
ugPFTZ2PTMtrgooJ2tMXpQ,japanese,4.0,31
Om3bGjj6f4t2b2in7vwikA,french,2.0,1
FXhSEZfIqjMZh4hR0_8jMQ,chinese,4.0,292
uR-MqserQgPRQK3aiP6WyQ,japanese,3.5,53
StFf9fVnAlhwrUWan0C4Ww,chinese,4.0,47
f1GV69Ya6hJWUIUeZuEQlQ,chinese,3.0,19
BNWGhin8qx0Uf3RDJr_Vnw,chinese,3.5,6
D1V7ZadUtUPuYYlpDA1BOQ,japanese,4.5,11
ejmJTjHzdMxoq3t7pnnjrg,japanese,4.5,54
Ry9w-jFALWYhazi6jjyIKw,italian,4.0,413
pqebqpVTT8bR_s9iEu8dOA,japanese,4.0,658
HDoJIH-qW9FqJ5WB-bKTqA,korean,5.0,1
FgRJsieXorHgI-2XzGxh5A,japanese,3.5,259
jkd9CqvEuIJ_GM0i-lThKw,chinese,4.5,9
1fVp9c5Vw04ig171a_juRw,chinese,4.0,39
h3kZr9KVuzB9JKJCkWZjGw,american,4.0,4
rk8V5c1Wr5gVLKOaY0g4VQ,chinese,3.0,29
4A_fIcsZmWPwk4k2i6BhAQ,french,3.5,60
MSVftNJ5lwPK9TQtHayaPQ,japanese,4.0,30
xbrQ2dHuQoFJmNxAuOky4A,italian,4.0,327
z4CzSOnngC2RaTEC_BgUWA,italian,4.0,189
PqqnNrUtU7XTKQvUM4cyqQ,american,4.5,68
R7PHDW6wKzYHOOh4f6MrzA,indian,3.0,20
csVEpHy5KJoFvM1qp5XwLQ,french,4.0,826
YKfj-CUjgb9xQ1kN_bhNLg,american,4.0,154
MXstrG3HjF83LcxAd8OpTw,chinese,4.0,46
6pVXgxStX66_7UOQg_ifQQ,korean,4.0,23
1xA_G41I-OVyZGXARY71UQ,french,3.5,35
eMPpgfTIZt-qEZWO1VzvFw,korean,4.0,412
qpkFmGyvbZv-g2fbwyNQUg,french,4.0,355
NebgteFykeM1gwiVgPcCHw,korean,4.0,477
fIt-pfNt3YQz7nHgqJHUqg,korean,4.0,15
Zq-bINENqMPz4zyMKQFvzQ,japanese,4.0,125
xFp3xSQ43J-i7nmJfNBsZA,japanese,4.0,365
-6KT1D508e6zvqHJvv4r2Q,chinese,4.0,8
RfkuPrAKQRFPC3D_0ugnEQ,italian,3.5,185
liRKlk_PlUOmSbnZr5w97A,italian,3.0,95
h7WwPbWt4Qgimc6K4oVTxA,chinese,3.5,54
Phtq020-VoHgQp_p-vXVVA,italian,4.5,183
dPZ9wSTz7QSAZAW0eZHlmQ,french,3.0,43
kCk2uqmmJBQ80iLuncNhlQ,japanese,3.5,57
noBCTbD1Ylf5QR7PXy-rkA,indian,4.0,545
TCJrcryBkI6eg2HYThoiKg,french,4.0,297
pAS9SdKkgtimFmlXizhQWA,french,4.0,512
XaEFFUabnbH8ZF7ccmSAlQ,chinese,2.5,47
vlZ9k3e_1N_h_ybhrl278g,japanese,5.0,1
SzH79XjUPoTYBnE3dybRsw,italian,4.0,87
OHD58Nwnf5sSMpSgpiUk3Q,indian,4.5,2
qNmHq3ST2bBinAN-TatwSg,japanese,3.5,24
47_jHPl3p4-OYGCVLy2ZIA,american,4.5,101
M7Bl6U2EjxI-n0ksoYtZ8w,french,3.5,272
IFZ3_d01uflGixWrrD8_gg,indian,4.0,417
DpZ7Xaub8Lhpg7VJdHaPpg,japanese,4.0,886
z1R0tUFUZ7RU_kQTlzRsZg,japanese,3.5,37
nClCX3nfSllPZ0Kh8JnGFw,korean,4.0,20
enDIsmxSG2bQccQWgGNcbg,japanese,4.0,133
PgiqzwIfcV2eruGmNx77lw,chinese,3.0,32
NUFdHBhmlzJAZv0IpYuOoA,japanese,4.0,12
qhOBte4EJZCKDUWBsjxdiA,japanese,3.5,71
Ab-oC8Wm_R73gWQYOUW_xA,korean,3.5,565
dJdIEYv56jTBkU6hAnSypw,japanese,4.5,85
5iciHq6BV3hOKpxTXKEzVA,french,4.0,220
svNleiTRS0Pinpa5u393Eg,chinese,2.5,7
