RestaurantId,Cuisine,Rating,NumberOfReviews,Prediction,Score
ykXZyQBXxoOMoZfaZMnHmg,american,4.0,296,1,8.504266E-1
uaFHoq-a5XqxF-bsOK9_Qg,chinese,3.5,762,0,4.836273E-1
IhSVn0TaX8xXb3wcQ-fgcA,chinese,4.0,2226,0,4.521422E-1
je92kXXWjANmiN-dfwNapg,japanese,4.0,347,1,6.450044E-1
aSprnLY-6GkMk1cuv0TMeA,italian,4.0,785,1,7.407647E-1
AFidVhcRHCmlk6YxgRlO2Q,chinese,3.5,87,0,3.318674E-1
x9wa2M7gvf32swUSBP3uXA,indian,3.5,686,1,7.284755E-1
jYia13i0CBwNXadzAAxLJg,japanese,3.5,266,1,5.947537E-1
42qsGN56bAsPhv5mhRZmGw,american,4.0,109,1,8.411327E-1
kbUZnWtro1h8BuPcSOd74g,korean,3.5,85,0,4.907194E-1
cJfbydHniqWsGL2VHVDHEg,indian,4.0,196,1,6.561745E-1
0hoKHSlhmqr0_5a1KD67AQ,american,3.5,159,1,8.465099E-1
ugPFTZ2PTMtrgooJ2tMXpQ,japanese,4.0,31,1,5.023544E-1
Om3bGjj6f4t2b2in7vwikA,french,2.0,1,1,5.438321E-1
FXhSEZfIqjMZh4hR0_8jMQ,chinese,4.0,292,0,4.193319E-1
uR-MqserQgPRQK3aiP6WyQ,japanese,3.5,53,1,5.023544E-1
StFf9fVnAlhwrUWan0C4Ww,chinese,4.0,47,0,3.318674E-1
f1GV69Ya6hJWUIUeZuEQlQ,chinese,3.0,19,0,1.059665E-3
BNWGhin8qx0Uf3RDJr_Vnw,chinese,3.5,6,0,3.318674E-1
D1V7ZadUtUPuYYlpDA1BOQ,japanese,4.5,11,1,9.977196E-1
ejmJTjHzdMxoq3t7pnnjrg,japanese,4.5,54,1,9.977196E-1
Ry9w-jFALWYhazi6jjyIKw,italian,4.0,413,1,8.139811E-1
pqebqpVTT8bR_s9iEu8dOA,japanese,4.0,658,1,6.442093E-1
HDoJIH-qW9FqJ5WB-bKTqA,korean,5.0,1,1,6.642283E-1
FgRJsieXorHgI-2XzGxh5A,japanese,3.5,259,1,5.398479E-1
jkd9CqvEuIJ_GM0i-lThKw,chinese,4.5,9,1,9.953763E-1
1fVp9c5Vw04ig171a_juRw,chinese,4.0,39,0,3.318674E-1
h3kZr9KVuzB9JKJCkWZjGw,american,4.0,4,1,7.96363E-1
rk8V5c1Wr5gVLKOaY0g4VQ,chinese,3.0,29,0,1.059665E-3
4A_fIcsZmWPwk4k2i6BhAQ,french,3.5,60,1,5.438321E-1
MSVftNJ5lwPK9TQtHayaPQ,japanese,4.0,30,1,5.023544E-1
xbrQ2dHuQoFJmNxAuOky4A,italian,4.0,327,1,7.044465E-1
z4CzSOnngC2RaTEC_BgUWA,italian,4.0,189,1,6.481676E-1
PqqnNrUtU7XTKQvUM4cyqQ,american,4.5,68,1,9.994104E-1
R7PHDW6wKzYHOOh4f6MrzA,indian,3.0,20,0,3.184241E-3
csVEpHy5KJoFvM1qp5XwLQ,french,4.0,826,1,6.883963E-1
YKfj-CUjgb9xQ1kN_bhNLg,american,4.0,154,1,8.465099E-1
MXstrG3HjF83LcxAd8OpTw,chinese,4.0,46,0,3.318674E-1
6pVXgxStX66_7UOQg_ifQQ,korean,4.0,23,0,4.907194E-1
1xA_G41I-OVyZGXARY71UQ,french,3.5,35,1,5.438321E-1
eMPpgfTIZt-qEZWO1VzvFw,korean,4.0,412,1,7.449052E-1
qpkFmGyvbZv-g2fbwyNQUg,french,4.0,355,1,7.517423E-1
NebgteFykeM1gwiVgPcCHw,korean,4.0,477,1,6.570676E-1
fIt-pfNt3YQz7nHgqJHUqg,korean,4.0,15,0,4.907194E-1
Zq-bINENqMPz4zyMKQFvzQ,japanese,4.0,125,0,4.514829E-1
xFp3xSQ43J-i7nmJfNBsZA,japanese,4.0,365,1,6.532702E-1
-6KT1D508e6zvqHJvv4r2Q,chinese,4.0,8,0,3.318674E-1
RfkuPrAKQRFPC3D_0ugnEQ,italian,3.5,185,1,6.706464E-1
liRKlk_PlUOmSbnZr5w97A,italian,3.0,95,0,3.074143E-3
h7WwPbWt4Qgimc6K4oVTxA,chinese,3.5,54,0,3.318674E-1
Phtq020-VoHgQp_p-vXVVA,italian,4.5,183,1,9.988682E-1
dPZ9wSTz7QSAZAW0eZHlmQ,french,3.0,43,0,2.539588E-3
kCk2uqmmJBQ80iLuncNhlQ,japanese,3.5,57,1,5.023544E-1
noBCTbD1Ylf5QR7PXy-rkA,indian,4.0,545,1,7.336321E-1
TCJrcryBkI6eg2HYThoiKg,french,4.0,297,1,6.341389E-1
pAS9SdKkgtimFmlXizhQWA,french,4.0,512,1,6.974936E-1
XaEFFUabnbH8ZF7ccmSAlQ,chinese,2.5,47,0,3.318674E-1
vlZ9k3e_1N_h_ybhrl278g,japanese,5.0,1,1,6.745284E-1
SzH79XjUPoTYBnE3dybRsw,italian,4.0,87,1,5.908161E-1
OHD58Nwnf5sSMpSgpiUk3Q,indian,4.5,2,1,9.984598E-1
qNmHq3ST2bBinAN-TatwSg,japanese,3.5,24,1,5.023544E-1
47_jHPl3p4-OYGCVLy2ZIA,american,4.5,101,1,9.994104E-1
M7Bl6U2EjxI-n0ksoYtZ8w,french,3.5,272,1,6.341389E-1
IFZ3_d01uflGixWrrD8_gg,indian,4.0,417,1,8.192666E-1
DpZ7Xaub8Lhpg7VJdHaPpg,japanese,4.0,886,1,6.541159E-1
z1R0tUFUZ7RU_kQTlzRsZg,japanese,3.5,37,1,5.023544E-1
nClCX3nfSllPZ0Kh8JnGFw,korean,4.0,20,0,4.907194E-1
enDIsmxSG2bQccQWgGNcbg,japanese,4.0,133,0,4.514829E-1
PgiqzwIfcV2eruGmNx77lw,chinese,3.0,32,0,1.059665E-3
NUFdHBhmlzJAZv0IpYuOoA,japanese,4.0,12,1,5.023544E-1
qhOBte4EJZCKDUWBsjxdiA,japanese,3.5,71,1,5.023544E-1
Ab-oC8Wm_R73gWQYOUW_xA,korean,3.5,565,1,5.796762E-1
dJdIEYv56jTBkU6hAnSypw,japanese,4.5,85,1,9.977196E-1
5iciHq6BV3hOKpxTXKEzVA,french,4.0,220,0,4.674654E-1
svNleiTRS0Pinpa5u393Eg,chinese,2.5,7,0,3.318674E-1
nKD9Mf13thEZYTNIY45qhA,french,4.0,108,1,6.174511E-1
AseGALfqpAmv7t_IEpzkIQ,korean,5.0,62,1,6.642283E-1
RuOFTFVTEuYSswAlzjxvwQ,chinese,3.5,14,0,3.318674E-1
WtaM26GHmDBiUpVB4lnl2w,indian,4.0,1,1,5.993214E-1
bgMbt6XbOaAu5VNXr5kCdQ,indian,4.0,188,1,6.561745E-1
fyC2cBsQ0FsMJmv0jSworg,italian,4.0,27,1,5.908161E-1
RaqtqQoaVbIRciHsolzT4A,chinese,4.0,10,0,3.318674E-1
JuHeNFYoeva_FDjmtj_vLw,italian,4.0,263,1,6.773402E-1
S4Euw4DYSqeU4KcteFXqHg,american,4.0,391,1,8.925973E-1
p-rLkKnNekR7nplgWnAUYQ,chinese,3.5,91,0,3.318674E-1
dpCSDy9uefOEcY44FHss2Q,korean,3.5,357,1,7.09925E-1
f5LgJ9TOZis-cQHAND97nA,korean,4.0,155,1,5.760657E-1
1j93J41t3Ni40IbrULfICw,japanese,4.5,70,1,9.977196E-1
LJaLQby_H8E9eHvcIW0xnw,american,4.0,212,1,7.422343E-1
fc8op9vARoRwfTSXzs4ShQ,american,4.0,522,1,8.832247E-1
8JDwcklaawqYprHg0c9aIA,american,4.5,88,1,9.994104E-1
7-n32xMWRYbJpy-pVm132Q,french,4.5,115,1,9.985725E-1
HnFHxQUSviXVa1FUGR-Hjw,french,4.0,133,0,4.929207E-1
q4zgRy2Z-j-KUtq5tT7JzA,japanese,3.5,108,1,5.774665E-1
d1pRHsBuYCZ4hdk0dyjE-g,chinese,4.0,39,0,3.318674E-1
OO1EUYT629SG6rxkHJnmYA,japanese,3.5,54,1,5.023544E-1
sjOp9UbbfKbohpEjQt2JRg,chinese,4.5,5,1,9.953763E-1
U2tjlMRITBSHHHTiv7L11A,japanese,4.0,143,1,5.4466E-1
e03tT0hH6qU-_dR8pwFa0Q,chinese,3.0,51,0,1.059665E-3
FXDMFBM-rV2s5MHzA33d2g,indian,4.0,156,1,6.783955E-1
c1kKAH9XMPNeaBhvnIP0FQ,american,4.0,289,1,8.504266E-1
uPW_isMEB92IDrX04pLK1g,indian,3.5,290,1,6.850058E-1
loLFoBWWXfpFu9fOdWebHQ,chinese,3.5,10,0,3.318674E-1
sLz0y7uD8_T8Ye32r7uyog,japanese,3.5,103,1,5.023544E-1
QzPaA7e4O7iabpwr99pmiQ,indian,2.0,4,1,5.993214E-1
JVNH3KfshX0ZcAe7_UJFAw,korean,3.5,36,0,4.907194E-1
DEHWHskp2gSAkfdylc4SNA,french,4.0,212,0,4.674654E-1
EM6z-NkZ-q2KPWNY7aKvNw,chinese,4.0,14,0,3.318674E-1
kYURnv37Z5P_sir_QJGHzg,japanese,3.5,637,1,6.421406E-1
1kdIzJU01DuTm7WhPSdiBQ,french,4.0,113,1,6.174511E-1
TyLhPh5dez8JLqXOgHXUaw,japanese,3.0,66,0,2.151207E-3
PMp7WlHIXQUnej-Ds1jRfw,american,4.0,828,1,8.787418E-1
01m-oqxaCifh0s0eU03bBg,chinese,3.0,55,0,1.059665E-3
6ujYWjs1FTksvuVxuzjUYA,french,3.5,899,1,6.907318E-1
AVuDEai-NoQnsnPgcFmI7w,japanese,3.5,52,1,5.023544E-1
r-EDS_eO70HUgDmOk5_8Qw,american,4.0,373,1,8.771171E-1
l7E6lpov_VPbhrxjWT-76Q,french,3.5,285,1,6.341389E-1
f3wkQwZewuC4Xg0C0mLYWA,american,3.5,29,1,7.96363E-1
jzEaiiRa3497HWdf4QKHIA,italian,2.5,64,1,5.908161E-1
XKDHsS8PevoEdFLNtt05FA,japanese,4.5,183,1,9.983819E-1
PwIMIWCzL7tlOVb-v0_RKw,chinese,4.0,16,0,3.318674E-1
LTfR_0NiS7OIRCfkaAJg9w,japanese,4.5,225,1,9.9812E-1
GpV5O0ag7BPW50tp66bz3A,korean,3.5,312,1,6.415359E-1
M2sBQQLHV7oFhyif0un7DA,chinese,4.5,11,1,9.953763E-1
TN1dGAwvNevkzXfL0sU41A,french,4.0,105,1,5.438321E-1
od-5v2v1HdGisEDAXotqeg,japanese,4.0,417,1,7.536484E-1
1tL5GVMiTK-KcR3oMizeoA,indian,3.5,9,1,5.993214E-1
nVW33wQBSr9-mMhDWciw2w,chinese,5.0,1,1,5.048922E-1
ohOXikd87wCxzJXKPx7nGg,american,4.0,97,1,7.96363E-1
ue0fYo62ucnaAL6spAqSiw,indian,2.5,3,1,5.993214E-1
NB5u0htOK_1_dTkYALpRxg,japanese,4.5,57,1,9.977196E-1
CZc8HqioU9WFJcml530kmQ,chinese,4.0,13,0,3.318674E-1
mZdxvKqo8-hP86lus1pVHQ,korean,5.0,12,1,6.642283E-1
tZ_16sRTaU5MCpdWskCeBA,french,4.0,44,1,5.438321E-1
iYFauSnqLxvr4HTY_cIElg,japanese,4.0,231,1,5.398479E-1
DRUvC_16De3L-uyPwJTZPA,korean,4.5,97,1,9.976112E-1
YxLazl79hS4O_ygHWqM3mg,american,4.5,10,1,9.994104E-1
WefqbhlzN9me67Uf1RVjxQ,korean,3.0,1,0,2.053576E-3
FyFeyjndrXHDnN-z9-qv_w,french,4.0,160,1,6.270424E-1
xhH_7pRMIpj8c9ZXfH5v4Q,french,3.5,121,1,6.174511E-1
yU-ZxFJIDSgEoNbpqyPdRw,korean,4.0,40,0,4.907194E-1
KIPrTLyJb0mHpsxuaCByZg,chinese,3.5,34,0,3.318674E-1
KaBw8UEm8uZTV6YLsshYrQ,korean,3.5,1274,1,6.452499E-1
agCuWjaUJ8xBO_PDDQRiGw,chinese,4.0,89,0,3.318674E-1
ak9vroilf-vpA_GSNWX2Jg,chinese,4.0,357,1,5.578387E-1
xn0g_LqMcVACrWuox5GF1g,american,4.0,235,1,8.196575E-1
BJi6fX-mObaJ3N75v6mwaQ,chinese,4.0,18,0,3.318674E-1
mYQMjrtHp8vsEKKNsRz1XA,italian,4.0,203,1,6.481676E-1
XJ68bnXVpW-pZTuiDrnCzQ,chinese,4.0,20,0,3.318674E-1
2DGTVgGGme6CoXFCgooqVw,indian,4.5,16,1,9.984598E-1
AWeQkgJ0uzNr5YxFr2Bx8g,italian,3.5,151,1,6.311236E-1
uboO7T3XSnl8iq0uQWhMXA,italian,3.5,105,1,5.908161E-1
wFjELmsEYh972BG79HwMqA,american,4.5,8,1,9.994104E-1
fjjzAn0j6zCs2SNViuNfwQ,indian,3.5,220,1,5.241153E-1
oJjMYhA6z1_BVaQpSdyl8g,chinese,4.0,125,0,2.8826E-1
4eAgPj7eKonKAtk64kgUfQ,japanese,4.5,43,1,9.977196E-1
8SM-aKKwlK8JNaJTr60c6Q,chinese,3.0,45,0,1.059665E-3
z6WBXksrh0FQXYCPr2nnFg,chinese,4.5,22,1,9.953763E-1
U2aUFZARLeSMf4RQIxjuTw,chinese,4.5,70,1,9.953763E-1
utbWLB3zYR1o__iDI9-Xgg,indian,2.5,18,1,5.993214E-1
ExOHOMrBuPSFmDaLDvtSJw,indian,3.5,9,1,5.993214E-1
xAEs5QnuL8uMNWjmUGpK7g,japanese,3.5,302,1,5.947537E-1
dsTAUtR3bRMFIKJpAJk1Jw,american,4.0,523,1,8.832247E-1
ifIfq2EwEohCgoKnG68_LA,italian,4.0,127,1,5.4072E-1
5K9dDoK_BLgAAAvedRxemQ,indian,5.0,7,1,7.54352E-1
xnw88LhmiI7_ktRTVYbESw,american,4.5,181,1,9.995818E-1
n7LwEbf0zsMapAcUtyyeVA,french,3.5,341,1,7.726239E-1
Okbtt-ISFB3kuoxkl2wVgg,french,4.5,73,1,9.980684E-1
yckkW5iFRiBOWsH3tZTr3Q,japanese,4.0,946,1,6.541159E-1
Wdt-exLSaHXQRH7V_7-VVg,american,4.0,135,1,8.339444E-1
5mJgmAgKpTbCDdpVs7OFxQ,american,4.5,160,1,9.995818E-1
m1sfDqgDiKKyUaXo9DWVeQ,indian,4.0,237,1,6.348199E-1
e1r5NNXmsCX7XGhJYzZtJA,chinese,3.5,16,0,3.318674E-1
itblJyiTY2h2ACidLk66oA,japanese,4.0,490,1,6.49614E-1
fNxI--522GxiStC-J3SnTw,indian,4.0,19,1,5.993214E-1
wvn-FO-tY9_iWmA_OgMvEA,italian,3.5,103,1,5.908161E-1
oe8GEFE4QLFAKt87y7zcgA,korean,4.0,472,1,6.504955E-1
iAlqJJHbbeY2Lb7tPt_CQA,chinese,3.5,149,0,3.705048E-1
nI1UYDCYUTt23TpGxqnLKg,korean,4.0,3380,1,6.155271E-1
Ae0pvFVwDRYMno-6O99_WA,french,4.0,81,1,5.438321E-1
bQPU31GkNo3TkPnq7iSngg,french,4.0,174,1,6.270424E-1
REIcoQFvGB7B6S0GmqHo1A,japanese,4.0,96,1,5.023544E-1
93C1xqdTGHyGtoZ9vwn3KA,american,3.5,52,1,7.96363E-1
NH7Ws65ZwlmOosiblfGTRw,indian,3.0,45,0,3.184241E-3
5rrGixafSO0bO42JEovuHQ,chinese,3.0,2,0,1.059665E-3
-bBJi79fbtWRzcs_rsU6ag,chinese,3.5,7,0,3.318674E-1
TsYrzVVtkKO4Asrk_L9stw,italian,3.5,391,1,7.542065E-1
qMr20iPFYIgk0NdjIzp-BQ,american,5.0,5,1,8.892435E-1
25npnVAlhRjguunYS8zy8w,italian,4.0,155,1,6.706464E-1
U60GbyJIMzwKZaP5IRgnBg,french,3.5,169,1,6.270424E-1
fjGTnLTvt64N8sk0_MZcGA,french,4.0,321,1,6.888917E-1
OINi1A9bSUUN5vi7xgi3ZQ,japanese,4.5,32,1,9.977196E-1
zDujEq9qZk13nBcG2PH4tA,french,4.5,235,1,9.983375E-1
Q8U5xfrSi35qRolA0UV2SA,korean,3.0,2,0,2.053576E-3
39g9pylx-xeIHihTe76HbA,italian,4.5,6,1,9.984046E-1
B0emo6VcMKdj5yYV7cSSsA,american,4.0,25,1,7.96363E-1
4NCvsUR3cKLaPgIZJK622w,chinese,4.0,9,0,3.318674E-1
h37t9rA06Sr4EetJjKrfzw,italian,4.5,94,1,9.984046E-1
etIbdlTKz2yLkvr9MWNPvw,japanese,3.5,293,1,5.947537E-1
