RestaurantId,Cuisine,Score
ykXZyQBXxoOMoZfaZMnHmg,american,0.8504266
je92kXXWjANmiN-dfwNapg,japanese,0.6450044
aSprnLY-6GkMk1cuv0TMeA,italian,0.7407647
x9wa2M7gvf32swUSBP3uXA,indian,0.7284755
jYia13i0CBwNXadzAAxLJg,japanese,0.5947537
42qsGN56bAsPhv5mhRZmGw,american,0.8411327
cJfbydHniqWsGL2VHVDHEg,indian,0.6561745
0hoKHSlhmqr0_5a1KD67AQ,american,0.8465099
ugPFTZ2PTMtrgooJ2tMXpQ,japanese,0.5023544
Om3bGjj6f4t2b2in7vwikA,french,0.5438321
uR-MqserQgPRQK3aiP6WyQ,japanese,0.5023544
D1V7ZadUtUPuYYlpDA1BOQ,japanese,0.9977196
ejmJTjHzdMxoq3t7pnnjrg,japanese,0.9977196
Ry9w-jFALWYhazi6jjyIKw,italian,0.8139811
pqebqpVTT8bR_s9iEu8dOA,japanese,0.6442093
HDoJIH-qW9FqJ5WB-bKTqA,korean,0.6642283
FgRJsieXorHgI-2XzGxh5A,japanese,0.5398479
jkd9CqvEuIJ_GM0i-lThKw,chinese,0.9953763
h3kZr9KVuzB9JKJCkWZjGw,american,0.796363
4A_fIcsZmWPwk4k2i6BhAQ,french,0.5438321
MSVftNJ5lwPK9TQtHayaPQ,japanese,0.5023544
xbrQ2dHuQoFJmNxAuOky4A,italian,0.7044465
z4CzSOnngC2RaTEC_BgUWA,italian,0.6481676
PqqnNrUtU7XTKQvUM4cyqQ,american,0.9994104
csVEpHy5KJoFvM1qp5XwLQ,french,0.6883963
YKfj-CUjgb9xQ1kN_bhNLg,american,0.8465099
1xA_G41I-OVyZGXARY71UQ,french,0.5438321
eMPpgfTIZt-qEZWO1VzvFw,korean,0.7449052
qpkFmGyvbZv-g2fbwyNQUg,french,0.7517423
NebgteFykeM1gwiVgPcCHw,korean,0.6570676
xFp3xSQ43J-i7nmJfNBsZA,japanese,0.6532702
RfkuPrAKQRFPC3D_0ugnEQ,italian,0.6706464
Phtq020-VoHgQp_p-vXVVA,italian,0.9988682
kCk2uqmmJBQ80iLuncNhlQ,japanese,0.5023544
noBCTbD1Ylf5QR7PXy-rkA,indian,0.7336321
TCJrcryBkI6eg2HYThoiKg,french,0.6341389
pAS9SdKkgtimFmlXizhQWA,french,0.6974936
vlZ9k3e_1N_h_ybhrl278g,japanese,0.6745284
SzH79XjUPoTYBnE3dybRsw,italian,0.5908161
OHD58Nwnf5sSMpSgpiUk3Q,indian,0.9984598
qNmHq3ST2bBinAN-TatwSg,japanese,0.5023544
47_jHPl3p4-OYGCVLy2ZIA,american,0.9994104
M7Bl6U2EjxI-n0ksoYtZ8w,french,0.6341389
IFZ3_d01uflGixWrrD8_gg,indian,0.8192666
DpZ7Xaub8Lhpg7VJdHaPpg,japanese,0.6541159
z1R0tUFUZ7RU_kQTlzRsZg,japanese,0.5023544
NUFdHBhmlzJAZv0IpYuOoA,japanese,0.5023544
qhOBte4EJZCKDUWBsjxdiA,japanese,0.5023544
Ab-oC8Wm_R73gWQYOUW_xA,korean,0.5796762
dJdIEYv56jTBkU6hAnSypw,japanese,0.9977196
nKD9Mf13thEZYTNIY45qhA,french,0.6174511
AseGALfqpAmv7t_IEpzkIQ,korean,0.6642283
WtaM26GHmDBiUpVB4lnl2w,indian,0.5993214
bgMbt6XbOaAu5VNXr5kCdQ,indian,0.6561745
fyC2cBsQ0FsMJmv0jSworg,italian,0.5908161
JuHeNFYoeva_FDjmtj_vLw,italian,0.6773402
S4Euw4DYSqeU4KcteFXqHg,american,0.8925973
dpCSDy9uefOEcY44FHss2Q,korean,0.709925
f5LgJ9TOZis-cQHAND97nA,korean,0.5760657
1j93J41t3Ni40IbrULfICw,japanese,0.9977196
LJaLQby_H8E9eHvcIW0xnw,american,0.7422343
fc8op9vARoRwfTSXzs4ShQ,american,0.8832247
8JDwcklaawqYprHg0c9aIA,american,0.9994104
7-n32xMWRYbJpy-pVm132Q,french,0.9985725
q4zgRy2Z-j-KUtq5tT7JzA,japanese,0.5774665
OO1EUYT629SG6rxkHJnmYA,japanese,0.5023544
sjOp9UbbfKbohpEjQt2JRg,chinese,0.9953763
U2tjlMRITBSHHHTiv7L11A,japanese,0.54466
FXDMFBM-rV2s5MHzA33d2g,indian,0.6783955
c1kKAH9XMPNeaBhvnIP0FQ,american,0.8504266
uPW_isMEB92IDrX04pLK1g,indian,0.6850058
sLz0y7uD8_T8Ye32r7uyog,japanese,0.5023544
QzPaA7e4O7iabpwr99pmiQ,indian,0.5993214
kYURnv37Z5P_sir_QJGHzg,japanese,0.6421406
