id,name,address,latitude,longitude,review_count,rating,zipcode
axqp3pGJXnTLgq2QrPyDyQ,Benemon,"108 E 4th St, New York, NY 10003",40.7255058288574,-73.9883804321289,360,4.5,10003
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,"53 W 35th St, New York, NY 10001",40.7501853096499,-73.9863203465939,1696,4.0,10001
FlZ1zdVEKWv7dwqm8Uw8-w,Raku,"342 E 6th St, New York, NY 10003",40.7264988089246,-73.9866526052356,638,4.5,10003
7iY35991NhQ1AShJZCNZgA,Sakagura,"211 E 43rd St, New York, NY 10017",40.7516467024541,-73.9729489318165,1605,4.0,10017
i8F0fnempD5fTb2CxbwKDw,Izakaya,"326 E 6th St, New York, NY 10003",40.72667,-73.98738,208,4.0,10003
7OMGEtFWT6sdd9TVuoGqJQ,Okonomi,"150 Ainslie St, Brooklyn, NY 11211",40.712622,-73.9487843,363,4.5,11211
OLSSJIp8pu5UlugTF7tuHA,Ootoya Chelsea,"8 W 18th St, New York, NY 10011",40.738767,-73.992778,1155,4.0,10011
_FhKGcCbiYgtkXcCiwTAiA,Aburiya Kinnosuke,"213 E 45th St, New York, NY 10017",40.7525199,-73.97235,645,4.0,10017
BPZfuPvSxCfoppU4lPFm0Q,DOMODOMO,"138 W Houston St, New York, NY 10012",40.72808,-74.00157,559,4.0,10012
kN3rkbjvqkY62CDRYUVz4g,Yopparai,"151 Rivington St, Fl 1, New York, NY 10002",40.71914,-73.98574,179,4.5,10002
Je2MuObgrne2wSKhD5MZ0w,TongKatsu,"137 Rivington St, New York, NY 10002",40.71929,-73.98647,89,5.0,10002
YC-wGlO0oOkEIaCEDZv-ag,Yakitori Totto,"251 W 55th St, Fl 2, New York, NY 10019",40.765375,-73.983114,1158,4.0,10019
wjIyCBEpCG_HRp8veiI0YQ,Ootoya Times Square,"141 W 41st St, New York, NY 10036",40.7548699,-73.98599,674,4.0,10036
KfaG5PoTEPpbODHBta9irw,Hakata Tonton,"61 Grove St, New York, NY 10014",40.73333,-74.00331,880,4.0,10014
DpZ7Xaub8Lhpg7VJdHaPpg,Zenkichi,"77 N 6th St, Brooklyn, NY 11249",40.7189722,-73.9608301,886,4.0,11249
zuD-iB7hV_dnf_JzBk_DCQ,Juku,"32 Mulberry St, New York, NY 10013",40.71461,-73.999528,46,4.0,10013
8NVN6Nldm7AGoGaABBZMRw,Izakaya NoMad,"13 W 26th St, New York, NY 10010",40.74409,-73.98945,536,4.0,10010
Uu1wc7CrweSIB4B7FLdbwg,Fukurou,"87 MacDougal St, New York, NY 10012",40.72905,-74.00143,259,4.0,10012
HZWHBfeuP4Fb6y8b8uqnbA,Sushi Yasaka,"251 W 72nd St, New York, NY 10023",40.779583,-73.983482,1482,4.0,10023
AFt1Qcec4_JNr6PWpkRYyw,Sushi Lin,"335 Flatbush Ave, Brooklyn, NY 11217",40.677786,-73.972591,92,5.0,11217
J9UA6rzI5WW_cDGjwDnF5g,Tsurutontan Udon Noodle Brasserie,"21 E 16th St, New York, NY 10003",40.73678,-73.9910699,1139,4.0,10003
pNe8ZCkGTe4cXfKdOF7kYQ,Ise Restaurant,"63 Cooper Sq, New York, NY 10003",40.7291024,-73.9900618,224,4.5,10003
diz6_4TVSP6EdWEZCZ0Acg,Kaoru,"306 E 46th St, New York, NY 10017",40.75202,-73.96977,158,4.5,10017
KJTTqIxuB0BEsYxLaYyAZw,Tonkatsu Matsunoya,"131 E 45th St, New York, NY 10017",40.7533493041992,-73.9741592407227,219,4.0,10017
LjAt-SP7BwIpp56TZHVsWA,Uotora,"1075 Bergen St, Brooklyn, NY 11216",40.676369,-73.950486,24,5.0,11216
PwrYnl3j3YCGzILX_5UHpw,Davelle,"102 Suffolk St, New York, NY 10002",40.71852,-73.98605,27,4.5,10002
Ms1p17KsYteDlkvHnllC2g,Soba Totto,"211 E 43rd St, New York, NY 10017",40.75122,-73.97317,731,4.0,10017
HC18oDJ2svQoXIddP-wuyw,Wasan Brooklyn,"440 Bergen St, Brooklyn, NY 11217",40.6812605,-73.9768418,126,4.0,11217
lxQ-tzFmL1tmUqZUN-CSRQ,Bozu,"296 Grand St, Brooklyn, NY 11211",40.712797,-73.957555,742,4.0,11211
enDIsmxSG2bQccQWgGNcbg,Takumen,"5-50 50th Ave, Long Island City, NY 11101",40.74259,-73.9546699,133,4.0,11101
HO8vjBAFY3GU1erXMZ_UbQ,CHOCHIN,"310 E 93rd St, New York, NY 10128",40.781805,-73.947887,68,4.5,10128
nrxSzq-VxLqD7aFkE4SH3Q,Cocoron,"37 Kenmare St, New York, NY 10012",40.7207236,-73.9953191,541,4.0,10012
eyjeP9CJZ_gYgeJFP_vtpQ,Karasu,"166 Dekalb Ave, Walter's, Brooklyn, NY 11217",40.689411,-73.973256,57,4.0,11217
1TEsPWu212B918MtgiSu3g,Jintan,"10th St & 1st Ave, New York, NY 10009",40.7288289984002,-73.9841578558473,42,4.0,10009
6FZf17rNThWKoF4EU18wnw,Yakiniku Futago,"37 W 17th St, New York, NY 10011",40.738851870947,-73.9941236398979,218,4.0,10011
KrJ6m_TkxBAPPSNH-G7rvQ,U-gu,"541 Myrtle Ave, Ste B, Brooklyn, NY 11205",40.69393,-73.96284,81,4.5,11205
ytABgZNWnFXQUjOYjh460A,Kyo Ya,"94 E 7th St, New York, NY 10009",40.7267,-73.9853399,424,4.5,10009
bokNBgAa9rmMMO8dkZVR1w,Rice & Miso,"134 Nevins St, Brooklyn, NY 11217",40.6845436245203,-73.9837776124477,38,4.5,11217
5agbggvhHI_juAZRfCqtZw,Iki Modern Japanese Cuisine,"133-42 39th Ave, Hyatt Place Hotel, Flushing, NY 11354",40.7594443507963,-73.8326477406522,203,4.0,11354
CYfO97BoPiqz3KRbJ8jbeg,Katsuno,"103-01 Metropolitan Ave, Forest Hills, NY 11375",40.7104116655092,-73.8499203163873,160,4.0,11375
6qzNc9Z9DHYYleKqrW_K3g,Takashi,"456 Hudson St, New York, NY 10014",40.7313524,-74.0065048,873,4.0,10014
sNeefaiRztDQ10B4QzUi3g,Shuraku,"47 8th Ave, New York, NY 10014",40.7385446555585,-74.0040071109515,29,4.5,10014
m1cJLpDN4B-_0hGgPfe5OA,Salt + Charcoal,"171 Grand St, Brooklyn, NY 11249",40.71453,-73.9613511,219,4.0,11249
yoGoH-1kDWMrQBI95ITo4A,Method,"746 10th Ave, New York, NY 10019",40.7650523,-73.9912028,60,4.5,10019
MmXZLVwWcYugi_TXSHmjeQ,Sushi by Bou,"132 W 47th St, New York, NY 10036",40.75851,-73.98322,155,5.0,10036
YMh3vH--fzLqiOAyL_3T5w,Gaijin,"37-12 31st Ave, Astoria, NY 11103",40.7616429510725,-73.9183799922466,207,4.5,11103
qNyUkJJjg1Tu6XmhAUU1sA,Okuda,"458 W 17th St, New York, NY 10011",40.7437929363044,-74.0063984206981,7,4.5,10011
kesYSgOJW5krU6L8n9qQ4Q,Ichibantei,"401 E 13th St, New York, NY 10009",40.73063,-73.98275,166,4.0,10009
VzstANC68PM1BbyOcDXEtw,Donburiya,"253 W 55th St, New York, NY 10019",40.7654,-73.98318,168,4.0,10019
Ad3dUoLatOdNtB4LxfmmWg,Yakitori Taisho,"5 St Marks Pl, Ste 1, New York, NY 10003",40.729535,-73.9892642,1486,3.5,10003
ULDVJYTT-47RqbLtlR_FUA,Ootoya Greenwich Village,"41 E 11th St, New York, NY 10003",40.73316,-73.99273,211,4.0,10003
ejmJTjHzdMxoq3t7pnnjrg,Naoki Takahashi,"311 W 17th St, New York, NY 10011",40.74196,-74.0015899,54,4.5,10011
SEPjcYB9-BUcilZAk7RR9w,Izakaya ida,"141 W 72nd St, New York, NY 10023",40.77828,-73.9801,96,3.5,10023
P_UREWCQxEYVbBa-KW_Wew,EN Japanese Brasserie,"435 Hudson St, New York, NY 10014",40.7306,-74.00698,1146,4.0,10014
u5V6wQQv3e4BmbyzUDYLNQ,Takesushi,"43-46 42nd St, Sunnyside, NY 11104",40.7441219,-73.9224056,325,4.0,11104
4eAgPj7eKonKAtk64kgUfQ,Matsuri,"39-56 61st St, Woodside, NY 11377",40.7458357,-73.9035436,43,4.5,11377
jobs_CC3sqaqfkzM_N9K1A,Robata,"3636 Prince St, Flushing, NY 11354",40.7612755,-73.833035,95,4.0,11354
6t5xWjPLWAjJV3YFMX_oaw,Hirohisa,"73 Thompson St, New York, NY 10012",40.724597,-74.003174,113,4.5,10012
mm8gYHxaLLRyv3CslY40TA,Suzuki Shokudo,"38-01 31st St, Long Island City, NY 11101",40.75353,-73.93184,26,4.5,11101
i8ejDDR4COtukAAA1Ls5fw,Soba-ya,"229 E 9th St, New York, NY 10003",40.7296485900879,-73.9878845214844,1278,4.0,10003
ynR4-QgEOsE7VhNfIWo73w,Secchu Yokota,"199 E 3rd St, Fl 1, New York, NY 10009",40.72283,-73.98311,56,5.0,10009
icZcEK39HXuL2q08i4EkkQ,Bessou,"5 Bleecker St, New York, NY 10012",40.725502,-73.992675,128,4.0,10012
e3JALGueMcc2eLXRK8HPNQ,Ki Sushi,"282 Flatbush Ave, Brooklyn, NY 11217",40.6784417729132,-73.9734394269355,83,5.0,11217
R9jTfyPlnfk23gy8VCCVAg,Shabushabu Macoron,"61 Delancey, New York, NY 10002",40.71909,-73.99086,24,4.5,10002
SUHJfh7H2NiQx8c5OWoAyQ,Sushi Yashin,"381 5th Ave, Brooklyn, NY 11215",40.6708328473989,-73.9847132950057,123,4.0,11215
FXimZKjpMjbDR20M2ruhvg,Sapps,"27-26 Jackson Ave, Long Island City, NY 11101",40.74762,-73.94008,60,4.5,11101
n1xpGOPa7XRq4or7QLjzHw,DokoDemo,"89 E 4th St, New York, NY 10003",40.72638,-73.98964,104,4.5,10003
_IkMfWpOkQXRZtJAYJUJIw,Hama Japanese Cuisine,"11 W 51st St, New York, NY 10019",40.7597846984863,-73.9776382446289,266,4.0,10019
GpCZORguVJZGpd5GoL9Arg,House of Small Wonder,"77 N 6th St, Brooklyn, NY 11211",40.7188839655893,-73.9606090848567,608,4.0,11211
8fr5FYU1ip0phERt1mrekg,Bohemian Restaurant,"57 Great Jones St, New York, NY 10012",40.72639,-73.99236,639,4.5,10012
FCoRGys6wgE7fSQ_YAUBeg,Donguri Restaurant,"309 E 83rd St, New York, NY 10028",40.775724,-73.952431,125,4.0,10028
flHcoaHEWxACgc-Vk9MsOQ,Jukai,"237 E 53rd St, New York, NY 10022",40.7572093705873,-73.9678837692742,127,4.0,10022
sgw7_RcDSN5UcMPeviegFA,Kakurega Sushi,"133-44 37th Ave, Flushing, NY 11354",40.760567,-73.833354,26,4.5,11354
d8qCvlsG3jwxQPZc_OGogQ,Hibino,"333 Henry St, Brooklyn, NY 11201",40.69017,-73.99637,357,4.0,11201
XKDHsS8PevoEdFLNtt05FA,Shuya Cafe de Ramen,"42-13 Broadway, Astoria, NY 11103",40.758007205736,-73.9167939666258,183,4.5,11103
ZaJS8EKQNSaQpwpmgN-vVw,Samurai Mama,"205 Grand St, Brooklyn, NY 11211",40.7140208838114,-73.960325717926,510,4.0,11211
YoR6ouUwehLFnBQ7RAjPlw,Zawa Japanese,"354 E 66th St, New York, NY 10065",40.76397,-73.9592,39,4.5,10065
FdCQmAHzhbHuaP5lcsYs6w,Gohan,"14A Orchard St, New York, NY 10002",40.71506,-73.9916,34,4.0,10002
B-lJd1eBLcLk1StNbgAe9w,Sushi Katsuei,"210 7th Ave, Brooklyn, NY 11215",40.6707147,-73.9785903,345,4.0,11215
LRyA5LakzQpv1t6pX-AcGg,Omakasa,"31 W 52nd St, New York, NY 10019",40.7607927244645,-73.9783116057515,30,4.0,10019
C5tqSSgVPfgtsJn3QnvDiQ,Hibino,"10-70 Jackson Ave, Long Island City, NY 11101",40.742626,-73.95198,150,4.0,11101
lBdpfyto6mqFIuEBbXWmDw,South Slope Ramen,"651 5th Ave, Brooklyn, NY 11215",40.6625,-73.99181,6,4.5,11215
e-G1yC5u8LOcQ-fx0Lxthw,Ajihei Bushwick,"156 Knickerbocker Ave, Brooklyn, NY 11237",40.70416,-73.92799,42,4.5,11237
ci457I10hOtr9PpEQ5wpZw,Matsunichi,"14-18 Elizabeth St, 32-33, New York, NY 10013",40.71592,-73.99725,16,4.0,10013
6lUsFj0KCao678o9L7QwUw,Hatsuhana Sushi Restaurant,"17 E 48th St, New York, NY 10017",40.75703,-73.97692,1044,4.0,10017
yckkW5iFRiBOWsH3tZTr3Q,Hashi Ramen & Izakaya,"192-12 Northern Blvd, Flushing, NY 11358",40.7578101754189,-73.7891612201929,946,4.0,11358
kwq1W0opBnOYKoUXWYyQ5g,Momokawa,"1466 1st Ave, New York, NY 10075",40.77047,-73.9537,67,4.0,10075
Brs_MJhAXe60iMnlpeqkKA,Yakiniku West,"218 E 9th St, New York, NY 10003",40.72955,-73.98858,690,4.0,10003
JPEIN-ZFo0-6X06nz6cfYA,Sushi Daizen,"47-38 Vernon Blvd, Long Island City, NY 11101",40.74445,-73.9538199,78,4.5,11101
cL8TLMCbs2B-vgy3SFtPGg,Geido,"331 Flatbush Ave, Brooklyn, NY 11217",40.67792,-73.97266,287,4.0,11217
RkVlK77T0oeilmMICMVkjg,Domo Williamsburg,"359 Manhattan Ave, Brooklyn, NY 11211",40.7166,-73.94657,17,5.0,11211
e8EW89rpbE1G2Ev41yypTg,Yakitori Tora,"72 Kenmare St, New York, NY 10012",40.72095,-73.9963,81,4.0,10012
K54qUgd274Fj_LvHCjeSFw,Okinii,"216 Thompson St, New York, NY 10012",40.72894,-73.99911,225,4.0,10012
